,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,638.06",+3.76%,$34.7b,$7.0b,+4.20%,30.21%,0.20,-0.0147%,-0.0064%,$104.8m
1,Bitcoin-BTC,"$19,332.92",+2.22%,$25.0b,$9.7b,-1.34%,41.63%,0.39,-0.0045%,-0.0005%,$36.8m
2,Ethereum Classic-ETC,$37.19,+3.68%,$5.5b,$505.3m,-4.50%,2.17%,0.09,-0.0432%,-0.0672%,$19.8m
3,EOS-EOS,$1.67,+18.59%,$1.7b,$242.3m,+45.07%,1.04%,0.14,-0.0138%,-0.0106%,$5.0m
4,Solana-SOL,$32.63,+4.66%,$1.2b,$383.2m,+3.03%,1.65%,0.32,-0.0019%,+0.0043%,$2.4m
5,Helium-HNT,$5.46,+58.45%,$1.0b,$41.4m,+111.41%,0.18%,0.04,-0.1646%,-0.1295%,$2.0m
6,Cardano-ADA,$0.4772,+2.33%,$807.2m,$280.3m,-1.03%,1.20%,0.35,-0.0034%,-0.0069%,$1.0m
7,Binance Coin-BNB,$277.58,+4.65%,$720.1m,$276.6m,+0.76%,1.19%,0.38,-0.0026%,+0.0085%,$998.2k
8,Ripple-XRP,$0.3362,+3.73%,$673.1m,$329.9m,+2.16%,1.42%,0.49,-0.0079%,-0.0033%,$1.7m
9,Polygon-MATIC,$0.8401,+1.34%,$637.2m,$191.1m,-2.54%,0.82%,0.30,-0.0090%,-0.0161%,$1.4m
10,Cosmos-ATOM,$13.07,+9.43%,$580.0m,$129.4m,+15.22%,0.56%,0.22,-0.0088%,-0.0129%,$1.5m
11,Stargate Finance-STG,$0.7280,+17.75%,$569.9m,$26.8m,+77.54%,0.12%,0.05,+0.0055%,+0.0052%,$686.0k
12,Litecoin-LTC,$57.70,+5.24%,$523.5m,$195.3m,+3.31%,0.84%,0.37,-0.0037%,+0.0030%,$1.2m
13,Avalanche-AVAX,$18.98,+3.28%,$507.6m,$129.6m,-1.18%,0.56%,0.26,+0.0053%,-0.0003%,$1.1m
14,NEAR Protocol-NEAR,$4.38,+6.28%,$421.9m,$93.2m,+3.13%,0.40%,0.22,-0.0046%,-0.0065%,$857.8k
15,Polkadot-DOT,$7.23,+4.28%,$407.7m,$264.7m,+2.34%,1.14%,0.65,-0.0102%,+0.0009%,$541.2k
16,Chiliz-CHZ,$0.1909,+3.43%,$390.8m,$73.8m,-5.06%,0.32%,0.19,+0.0026%,+0.0050%,$398.9k
17,Optimism-OP,$1.17,+4.63%,$386.2m,$60.1m,+1.90%,0.26%,0.16,+0.0024%,+0.0037%,$577.9k
18,Dogecoin-DOGE,$0.0610,+3.11%,$364.8m,$117.9m,-4.26%,0.51%,0.32,+0.0023%,+0.0034%,$847.4k
19,Chainlink-LINK,$7.09,+5.82%,$310.4m,$106.6m,+6.98%,0.46%,0.34,-0.0021%,-0.0013%,$548.1k
20,Filecoin-FIL,$5.87,+4.24%,$296.5m,$102.0m,+2.31%,0.44%,0.34,-0.0019%,+0.0106%,$767.0k
21,Curve DAO Token-CRV,$1.18,+13.08%,$265.1m,$64.1m,+17.33%,0.28%,0.24,+0.0027%,-0.0148%,$851.3k
22,STEPN-GMT,$0.6510,+2.40%,$242.0m,$105.3m,+1.10%,0.45%,0.44,-0.0074%,-0.0046%,$494.5k
23,1000SHIB-1000SHIB,$0.0122,+2.01%,$230.4m,$41.7m,+2.26%,0.18%,0.18,+0.0100%,+0.0051%,$254.7k
24,Bitcoin Cash-BCH,$118.98,+5.06%,$226.0m,$169.3m,+3.23%,0.73%,0.75,-0.0143%,-0.0039%,$438.5k
25,Ravencoin-RVN,$0.0370,-0.48%,$223.2m,$19.5m,-27.08%,0.08%,0.09,-0.0023%,+0.0198%,$573.1k
26,Tellor-TRB,$16.68,+4.63%,$195.9m,$40.9m,-6.10%,0.18%,0.21,-0.0744%,+0.0062%,$240.5k
27,ApeCoin-APE,$4.43,+2.10%,$180.7m,$64.3m,+1.01%,0.28%,0.36,-0.0051%,-0.0046%,$696.2k
28,The Sandbox-SAND,$0.9032,+2.00%,$178.1m,$72.6m,-1.35%,0.31%,0.41,-0.0053%,-0.0121%,$565.8k
29,Fantom-FTM,$0.2552,+4.07%,$154.0m,$47.9m,+0.31%,0.21%,0.31,-0.0054%,-0.0022%,$359.5k
30,Ethereum Name Service-ENS,$14.93,+3.57%,$139.6m,$29.9m,-2.19%,0.13%,0.21,+0.0048%,+0.0059%,$343.8k
31,Axie Infinity-AXS,$13.44,+1.04%,$134.3m,$78.4m,+0.84%,0.34%,0.58,-0.0315%,-0.0324%,$319.3k
32,Unifi Protocol DAO-UNFI,$7.18,+5.44%,$126.0m,$17.7m,+5.82%,0.08%,0.14,+0.0100%,+0.0024%,$113.0k
33,Aave-AAVE,$87.81,+4.32%,$118.1m,$45.2m,-0.09%,0.19%,0.38,-0.0214%,+0.0106%,$141.9k
34,Kyber Network Crystal-KNC,$1.74,+3.00%,$104.8m,$20.0m,-0.02%,0.09%,0.19,-0.0055%,-0.0161%,$200.0k
35,Project Galaxy-GAL,$2.52,-3.34%,$99.1m,$14.0m,-9.31%,0.06%,0.14,-0.0146%,-0.0120%,$276.2k
36,Uniswap-UNI,$6.14,+4.40%,$98.0m,$45.5m,+3.57%,0.20%,0.46,-0.0082%,-0.0125%,$158.5k
37,Tron-TRX,$0.0617,+1.33%,$97.9m,$142.0m,+1.22%,0.61%,1.45,-0.0152%,-0.0135%,$338.4k
38,dYdX-DYDX,$1.46,+0.59%,$95.2m,$36.3m,+8.43%,0.16%,0.38,-0.0044%,+0.0025%,$129.7k
39,Decentraland-MANA,$0.7636,+2.69%,$90.7m,$37.6m,-1.39%,0.16%,0.42,-0.0069%,+0.0009%,$194.8k
40,SushiSwap-SUSHI,$1.24,+8.90%,$90.5m,$30.8m,+5.06%,0.13%,0.34,-0.0161%,+0.0018%,$266.1k
41,yearn.finance-YFI,"$9,423.94",+8.77%,$87.3m,$37.1m,+12.42%,0.16%,0.43,-0.0200%,-0.0141%,$240.5k
42,iExec RLC-RLC,$1.24,+19.33%,$84.7m,$8.2m,+49.83%,0.04%,0.10,-0.0993%,-0.0266%,$279.9k
43,Monero-XMR,$149.38,+2.31%,$81.2m,$40.1m,-2.13%,0.17%,0.49,-0.0020%,+0.0006%,$173.6k
44,Terra Classic-LUNC,$0.0005,+18.86%,$80.9m,$7.6m,+327.44%,0.03%,0.09,+0.0029%,+0.0020%,$363.0k
45,Gala-GALA,$0.0488,+2.86%,$78.4m,$33.2m,-0.02%,0.14%,0.42,+0.0004%,+0.0047%,$112.6k
46,CertiK-CTK,$1.06,+11.88%,$76.5m,$12.0m,+48.26%,0.05%,0.16,-0.0304%,-0.0338%,$201.2k
47,Terra-LUNA,$1.90,+3.30%,$76.1m,$6.4m,+4.52%,0.03%,0.08,-0.0090%,-0.0085%,$177.2k
48,Waves-WAVES,$4.42,+2.53%,$75.6m,$48.3m,+2.80%,0.21%,0.64,+0.0059%,+0.0008%,$121.0k
49,Algorand-ALGO,$0.2990,+4.76%,$74.2m,$28.9m,+3.92%,0.12%,0.39,-0.0001%,+0.0064%,$38.7k
50,Synthetix Network Token-SNX,$2.98,+6.44%,$73.4m,$32.9m,-0.81%,0.14%,0.45,-0.0255%,+0.0101%,$72.2k
51,ConstitutionDAO-PEOPLE,$0.0216,+11.93%,$72.2m,$25.5m,+9.88%,0.11%,0.35,+0.0077%,-0.0028%,$122.5k
52,Ocean Protocol-OCEAN,$0.1813,+12.23%,$64.4m,$7.0m,+75.94%,0.03%,0.11,-0.0004%,-0.0062%,$212.7k
53,THETA-THETA,$1.11,+2.81%,$64.2m,$21.9m,-0.32%,0.09%,0.34,-0.0152%,-0.0051%,$125.3k
54,Stellar Lumens-XLM,$0.1028,+2.36%,$54.9m,$37.8m,+4.52%,0.16%,0.69,-0.0151%,-0.0052%,$99.6k
