,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,639.89",+0.23%,$34.7b,$7.3b,+4.36%,30.82%,0.21,-0.0052%,-0.0009%,$54.0m
1,Bitcoin-BTC,"$19,339.86",+0.15%,$24.4b,$9.6b,-0.77%,40.67%,0.39,+0.0007%,+0.0037%,$24.7m
2,Ethereum Classic-ETC,$36.90,-0.24%,$3.6b,$494.5m,-2.14%,2.09%,0.14,-0.0049%,-0.0038%,$8.9m
3,EOS-EOS,$1.62,-2.14%,$1.6b,$218.8m,-9.16%,0.93%,0.13,+0.0113%,+0.0081%,$2.9m
4,Solana-SOL,$33.65,+3.63%,$1.4b,$407.6m,+6.82%,1.73%,0.28,+0.0136%,+0.0118%,$1.7m
5,Cosmos-ATOM,$13.88,+8.09%,$1.1b,$179.5m,+49.75%,0.76%,0.17,-0.0154%,-0.0027%,$1.8m
6,Helium-HNT,$4.78,-5.06%,$1.0b,$32.8m,-11.89%,0.14%,0.03,+0.0034%,+0.0030%,$1.6m
7,Cardano-ADA,$0.4782,+0.28%,$745.7m,$279.8m,-0.44%,1.19%,0.38,+0.0100%,+0.0175%,$780.7k
8,Ripple-XRP,$0.3398,+1.73%,$690.7m,$326.3m,+0.08%,1.38%,0.47,-0.0009%,-0.0003%,$964.6k
9,Binance Coin-BNB,$280.63,+0.65%,$684.1m,$281.0m,+1.16%,1.19%,0.41,+0.0059%,+0.0113%,$243.4k
10,NEAR Protocol-NEAR,$4.58,+4.92%,$670.2m,$121.4m,+30.35%,0.51%,0.18,+0.0075%,+0.0048%,$1.4m
11,Bitcoin Cash-BCH,$128.67,+9.33%,$571.0m,$208.7m,+24.50%,0.88%,0.37,+0.0020%,+0.0065%,$960.3k
12,Polygon-MATIC,$0.8416,+0.43%,$531.7m,$187.3m,-2.15%,0.79%,0.35,+0.0000%,-0.0094%,$497.2k
13,Litecoin-LTC,$58.04,+1.43%,$492.7m,$189.7m,-1.81%,0.80%,0.38,-0.0010%,+0.0037%,$536.1k
14,Avalanche-AVAX,$18.98,-0.30%,$484.2m,$132.3m,+1.35%,0.56%,0.27,+0.0089%,+0.0098%,$286.4k
15,Polkadot-DOT,$7.42,+2.76%,$434.5m,$271.3m,+2.64%,1.15%,0.62,-0.0009%,+0.0149%,$562.4k
