,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,636.09",-0.11%,$34.7b,$7.3b,+3.90%,30.81%,0.21,-0.0072%,-0.0010%,$54.3m,2022-09-08 21:48:25.112119
1,Bitcoin-BTC,"$19,319.56",+0.02%,$24.4b,$9.6b,-1.01%,40.68%,0.39,+0.0007%,+0.0037%,$24.7m,2022-09-08 21:48:25.112119
2,Ethereum Classic-ETC,$36.75,-0.90%,$3.6b,$491.4m,-3.47%,2.09%,0.14,-0.0049%,-0.0037%,$8.9m,2022-09-08 21:48:25.112119
3,EOS-EOS,$1.62,-2.31%,$1.6b,$218.2m,-10.03%,0.93%,0.13,+0.0113%,+0.0078%,$2.9m,2022-09-08 21:48:25.112119
4,Solana-SOL,$33.56,+3.38%,$1.4b,$406.6m,+6.34%,1.73%,0.28,+0.0136%,+0.0115%,$1.7m,2022-09-08 21:48:25.112119
5,Cosmos-ATOM,$13.87,+7.77%,$1.1b,$179.2m,+47.51%,0.76%,0.17,-0.0154%,-0.0029%,$1.8m,2022-09-08 21:48:25.112119
6,Helium-HNT,$4.77,-6.32%,$1.0b,$32.6m,-13.83%,0.14%,0.03,+0.0034%,+0.0030%,$1.6m,2022-09-08 21:48:25.112119
7,Cardano-ADA,$0.4771,-0.02%,$746.1m,$279.0m,-0.90%,1.18%,0.37,+0.0099%,+0.0173%,$780.8k,2022-09-08 21:48:25.112119
8,Ripple-XRP,$0.3392,+1.46%,$690.7m,$326.0m,-0.06%,1.38%,0.47,-0.0010%,-0.0002%,$964.6k,2022-09-08 21:48:25.112119
9,Binance Coin-BNB,$280.32,+0.57%,$683.1m,$280.5m,+0.80%,1.19%,0.41,+0.0059%,+0.0112%,$243.4k,2022-09-08 21:48:25.112119
10,NEAR Protocol-NEAR,$4.57,+4.65%,$670.1m,$121.1m,+29.58%,0.51%,0.18,+0.0075%,+0.0046%,$1.4m,2022-09-08 21:48:25.112119
11,Bitcoin Cash-BCH,$128.39,+8.94%,$571.6m,$208.1m,+24.00%,0.88%,0.36,+0.0020%,+0.0058%,$964.7k,2022-09-08 21:48:25.112119
12,Polygon-MATIC,$0.8411,+0.14%,$531.4m,$187.0m,-2.67%,0.79%,0.35,+0.0000%,-0.0096%,$497.2k,2022-09-08 21:48:25.112119
13,Litecoin-LTC,$57.98,+1.26%,$493.3m,$189.6m,-1.91%,0.80%,0.38,-0.0010%,+0.0043%,$540.7k,2022-09-08 21:48:25.112119
14,Avalanche-AVAX,$18.94,-0.46%,$484.7m,$131.8m,+0.81%,0.56%,0.27,+0.0088%,+0.0095%,$286.6k,2022-09-08 21:48:25.112119
15,Polkadot-DOT,$7.41,+2.57%,$435.2m,$270.9m,+2.26%,1.15%,0.62,-0.0009%,+0.0144%,$562.4k,2022-09-08 21:48:25.112119
16,Stargate Finance-STG,$0.8054,+11.61%,$409.2m,$29.9m,+13.38%,0.13%,0.07,+0.0046%,+0.0049%,$824.2k,2022-09-08 21:48:25.112119
17,Chainlink-LINK,$7.45,+5.82%,$394.4m,$119.3m,+13.16%,0.51%,0.30,+0.0059%,+0.0148%,$605.6k,2022-09-08 21:48:25.112119
18,Chiliz-CHZ,$0.1862,-2.27%,$364.6m,$76.5m,+2.97%,0.32%,0.21,+0.0068%,+0.0075%,$475.8k,2022-09-08 21:48:25.112119
19,Optimism-OP,$1.17,+0.72%,$320.2m,$58.6m,-2.25%,0.25%,0.18,+0.0084%,+0.0079%,$480.6k,2022-09-08 21:48:25.112119
20,Filecoin-FIL,$5.83,-0.67%,$298.7m,$103.8m,+1.41%,0.44%,0.35,+0.0088%,+0.0066%,$373.3k,2022-09-08 21:48:25.112119
21,Dogecoin-DOGE,$0.0607,-0.48%,$288.5m,$119.5m,+1.09%,0.51%,0.41,+0.0090%,+0.0111%,$381.9k,2022-09-08 21:48:25.112119
22,Curve DAO Token-CRV,$1.13,-3.59%,$282.2m,$58.8m,-6.34%,0.25%,0.21,-0.0034%,+0.0201%,$471.0k,2022-09-08 21:48:25.112119
23,STEPN-GMT,$0.6514,+0.09%,$230.2m,$103.8m,-2.03%,0.44%,0.45,+0.0077%,-0.0038%,$253.0k,2022-09-08 21:48:25.112119
24,1000SHIB-1000SHIB,$0.0122,-0.73%,$218.0m,$42.2m,+1.01%,0.18%,0.19,+0.0081%,+0.0100%,$318.2k,2022-09-08 21:48:25.112119
25,ApeCoin-APE,$4.48,+1.48%,$217.7m,$62.6m,-1.57%,0.27%,0.29,+0.0024%,+0.0016%,$366.6k,2022-09-08 21:48:25.112119
26,Terra Classic-LUNC,$0.0005,+15.92%,$213.5m,$32.8m,+341.14%,0.14%,0.15,-0.0278%,-0.2694%,$938.2k,2022-09-08 21:48:25.112119
27,Axie Infinity-AXS,$13.63,-0.04%,$211.0m,$77.9m,+0.23%,0.33%,0.37,-0.0166%,-0.0163%,$118.1k,2022-09-08 21:48:25.112119
28,The Sandbox-SAND,$0.9102,+0.73%,$191.2m,$71.9m,-1.73%,0.31%,0.38,+0.0044%,+0.0049%,$119.2k,2022-09-08 21:48:25.112119
29,Ethereum Name Service-ENS,$15.68,+5.90%,$174.7m,$38.2m,+31.51%,0.16%,0.22,+0.0021%,+0.0078%,$149.4k,2022-09-08 21:48:25.112119
30,SushiSwap-SUSHI,$1.31,+5.54%,$157.2m,$39.2m,+26.39%,0.17%,0.25,-0.0071%,-0.0007%,$202.6k,2022-09-08 21:48:25.112119
31,Fantom-FTM,$0.2516,-1.19%,$147.9m,$46.0m,-3.72%,0.20%,0.31,+0.0092%,+0.0067%,$55.3k,2022-09-08 21:48:25.112119
32,Tron-TRX,$0.0610,-0.93%,$142.4m,$141.9m,-0.11%,0.60%,1.00,-0.0179%,-0.0176%,$107.6k,2022-09-08 21:48:25.112119
33,Tellor-TRB,$16.07,-4.02%,$137.4m,$37.1m,-9.68%,0.16%,0.27,-0.0008%,-0.0131%,$132.9k,2022-09-08 21:48:25.112119
34,Balancer-BAL,$7.33,+3.11%,$120.4m,$16.5m,+15.22%,0.07%,0.14,+0.0034%,-0.0088%,$218.3k,2022-09-08 21:48:25.112119
35,Uniswap-UNI,$6.19,+0.87%,$120.1m,$46.9m,+2.60%,0.20%,0.39,-0.0041%,+0.0007%,$31.5k,2022-09-08 21:48:25.112119
36,Ravencoin-RVN,$0.0362,-1.90%,$119.1m,$17.2m,-11.95%,0.07%,0.14,+0.0070%,+0.0054%,$186.6k,2022-09-08 21:48:25.112119
37,Aave-AAVE,$88.44,+0.99%,$115.2m,$46.0m,+0.78%,0.20%,0.40,+0.0045%,+0.0128%,$104.8k,2022-09-08 21:48:25.112119
38,Terra-LUNA,$1.95,+1.93%,$105.4m,$7.5m,+16.17%,0.03%,0.07,-0.0207%,-0.0062%,$329.0k,2022-09-08 21:48:25.112119
39,iExec RLC-RLC,$1.21,-1.77%,$100.9m,$6.6m,-16.91%,0.03%,0.07,-0.0067%,-0.0296%,$240.9k,2022-09-08 21:48:25.112119
40,dYdX-DYDX,$1.45,-0.14%,$96.9m,$36.1m,-0.84%,0.15%,0.37,-0.0010%,+0.0056%,$83.2k,2022-09-08 21:48:25.112119
41,Unifi Protocol DAO-UNFI,$7.10,-1.29%,$91.3m,$17.3m,-3.45%,0.07%,0.19,+0.0055%,+0.0097%,$93.2k,2022-09-08 21:48:25.112119
42,Decentraland-MANA,$0.7685,+0.75%,$88.4m,$38.5m,+1.65%,0.16%,0.44,+0.0046%,+0.0080%,$53.5k,2022-09-08 21:48:25.112119
43,Gala-GALA,$0.0488,-0.37%,$84.3m,$34.0m,+1.66%,0.14%,0.40,+0.0073%,+0.0055%,$91.4k,2022-09-08 21:48:25.112119
44,ConstitutionDAO-PEOPLE,$0.0209,-3.67%,$82.4m,$24.2m,-6.03%,0.10%,0.29,+0.0032%,+0.0067%,$86.4k,2022-09-08 21:48:25.112119
45,Flow (Dapper labs)-FLOW,$1.96,+5.02%,$80.7m,$24.8m,+4.72%,0.11%,0.31,+0.0053%,+0.0062%,$70.3k,2022-09-08 21:48:25.112119
46,Waves-WAVES,$4.44,+0.61%,$78.5m,$49.6m,+2.58%,0.21%,0.63,+0.0030%,+0.0087%,$59.5k,2022-09-08 21:48:25.112119
47,THORChain-RUNE,$1.84,+0.20%,$72.3m,$21.3m,+4.72%,0.09%,0.29,+0.0082%,+0.0072%,$48.2k,2022-09-08 21:48:25.112119
48,yearn.finance-YFI,"$9,252.30",-2.06%,$71.8m,$36.1m,-2.51%,0.15%,0.50,-0.0055%,+0.0006%,$62.2k,2022-09-08 21:48:25.112119
49,Tezos-XTZ,$1.57,+5.62%,$71.4m,$30.0m,+12.24%,0.13%,0.42,+0.0076%,+0.0082%,$148.8k,2022-09-08 21:48:25.112119
50,Synthetix Network Token-SNX,$2.91,-2.46%,$66.9m,$31.5m,-5.01%,0.13%,0.47,+0.0049%,-0.0034%,$34.9k,2022-09-08 21:48:25.112119
51,Kyber Network Crystal-KNC,$1.77,+2.58%,$66.7m,$21.1m,+6.88%,0.09%,0.32,-0.0016%,-0.0007%,$67.3k,2022-09-08 21:48:25.112119
52,Monero-XMR,$151.30,+0.79%,$63.2m,$41.8m,+3.53%,0.18%,0.66,-0.0032%,-0.0028%,$13.9k,2022-09-08 21:48:25.112119
53,BakeryToken-BAKE,$0.2590,+3.15%,$62.8m,$5.1m,+51.62%,0.02%,0.08,+0.0032%,+0.0100%,$122.6k,2022-09-08 21:48:25.112119
54,ZCash-ZEC,$60.82,+2.09%,$59.9m,$20.3m,-2.81%,0.09%,0.34,-0.0076%,+0.0003%,$72.8k,2022-09-08 21:48:25.112119
55,THETA-THETA,$1.12,+0.32%,$59.3m,$22.1m,+0.25%,0.09%,0.37,+0.0024%,+0.0031%,$23.1k,2022-09-08 21:48:25.112119
56,Algorand-ALGO,$0.3038,+1.64%,$58.7m,$29.1m,+0.29%,0.12%,0.50,+0.0123%,-0.0016%,$25.3k,2022-09-08 21:48:25.112119
57,Ankr-ANKR,$0.0348,+1.61%,$53.7m,$14.6m,+9.68%,0.06%,0.27,-0.0129%,-0.0404%,$121.3k,2022-09-08 21:48:25.112119
58,Metal-MTL,$1.18,+2.95%,$53.3m,$6.4m,+13.33%,0.03%,0.12,-0.0143%,-0.0249%,$75.6k,2022-09-08 21:48:25.112119
59,Compound-COMP,$48.58,+0.53%,$49.6m,$23.2m,+1.00%,0.10%,0.47,-0.0102%,-0.0087%,$108.8k,2022-09-08 21:48:25.112119
60,Project Galaxy-GAL,$2.48,-2.02%,$49.1m,$13.3m,-5.71%,0.06%,0.27,-0.0147%,-0.0056%,$28.5k,2022-09-08 21:48:25.112119
